id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM
265;1; 724 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban; 1 154 
266;1; 673 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban; 1 272 
267;2; 779 ; 747 ; -   ; -   ; -   ; -   ;Private;Sedan;38;M;Rural; 1 391 
268;1; 718 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban; 1 253 
269;1; 731 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;51;M;Rural; 1 107 
270;2; 736 ; 727 ; -   ; -   ; -   ; -   ;Commercial;Van;39;M;Urban; 1 414 
271;1; 745 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Rural; 1 427 
272;2; 719 ; 725 ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Urban; 1 046 
273;3; 665 ; 630 ; 731 ; -   ; -   ; -   ;Private;SUV;54;F;Urban; 1 153 
274;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;34;F;Urban; 1 138 
275;2; 596 ; 671 ; -   ; -   ; -   ; -   ;Private;Sports Car;41;F;Urban; 1 337 
276;2; 776 ; 688 ; -   ; -   ; -   ; -   ;Commercial;Sedan;36;M;Urban; 1 308 
277;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban; 1 293 
278;1; 733 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;F;Urban; 1 045 
279;2; 740 ; 738 ; -   ; -   ; -   ; -   ;Commercial;Pickup;45;M;Urban; 1 052 
280;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;50;F;Urban; 1 063 
281;2; 686 ; 788 ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban; 1 085 
282;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;55;F;Urban; 1 020 
283;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban; 1 418 
284;2; 782 ; 684 ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Urban; 1 267 
285;2; 627 ; 731 ; -   ; -   ; -   ; -   ;Private;Sports Car;60;M;Urban; 1 130 
286;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;M;Rural; 1 445 
287;1; 610 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;57;F;Urban; 1 174 
288;1; 696 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban; 1 083 
289;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;47;M;Urban; 1 126 
290;1; 634 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;64;F;Urban; 1 334 
291;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;34;M;Urban; 1 004 
292;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Rural; 1 207 
293;3; 740 ; 719 ; 716 ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban; 1 017 
294;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;41;M;Rural; 1 216 
295;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;41;M;Urban; 1 367 
296;1; 649 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;54;M;Urban; 1 405 
297;2; 804 ; 781 ; -   ; -   ; -   ; -   ;Private;SUV;42;F;Urban; 1 143 
298;3; 687 ; 673 ; 617 ; -   ; -   ; -   ;Private;SUV;56;F;Urban; 1 067 
299;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;50;M;Urban; 1 044 
300;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;59;F;Urban; 1 233 
301;2; 680 ; 650 ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban; 1 028 
302;1; 670 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;53;M;Urban; 1 129 
303;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;35;F;Urban; 1 197 
304;2; 755 ; 767 ; -   ; -   ; -   ; -   ;Private;Sedan;54;F;Urban; 1 228 
305;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;50;F;Urban; 1 470 
306;1; 851 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;29;F;Urban; 1 144 
307;2; 697 ; 789 ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban; 1 206 
308;3; 756 ; 739 ; 689 ; -   ; -   ; -   ;Private;SUV;57;F;Urban; 1 197 
309;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban; 1 307 
310;1; 743 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;44;F;Urban; 1 465 
311;1; 729 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;38;F;Urban; 1 203 
312;3; 707 ; 730 ; 648 ; -   ; -   ; -   ;Private;SUV;37;F;Urban; 1 458 
313;3; 726 ; 676 ; 590 ; -   ; -   ; -   ;Private;SUV;55;F;Rural; 1 459 
314;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;51;F;Rural; 1 003 
315;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;42;F;Urban; 1 304 
316;4; 723 ; 620 ; 756 ; 747 ; -   ; -   ;Commercial;Pickup;45;F;Rural; 1 042 
317;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;54;M;Urban; 1 147 
318;1; 708 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Rural; 1 257 
319;2; 663 ; 777 ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban; 1 484 
320;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban; 1 282 
321;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Rural; 1 154 
322;2; 695 ; 666 ; -   ; -   ; -   ; -   ;Commercial;SUV;25;F;Urban; 1 167 
323;4; 632 ; 713 ; 662 ; 635 ; -   ; -   ;Commercial;Van;55;M;Urban; 1 381 
324;1; 771 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;35;F;Urban; 1 079 
325;2; 643 ; 744 ; -   ; -   ; -   ; -   ;Commercial;Sports Car;29;F;Urban; 1 279 
326;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;45;M;Urban; 1 332 
327;3; 725 ; 640 ; 675 ; -   ; -   ; -   ;Private;SUV;37;F;Urban; 1 137 
328;3; 842 ; 726 ; 626 ; -   ; -   ; -   ;Commercial;Pickup;56;M;Urban; 1 285 
329;1; 738 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 334 
330;2; 764 ; 696 ; -   ; -   ; -   ; -   ;Private;Sedan;51;F;Urban; 1 291 
331;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;48;F;Rural; 1 008 
332;1; 685 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;52;M;Rural; 1 491 
333;3; 703 ; 740 ; 685 ; -   ; -   ; -   ;Commercial;Sedan;40;M;Urban; 1 260 
334;4; 681 ; 699 ; 690 ; 676 ; -   ; -   ;Private;Sports Car;41;F;Urban; 1 375 
335;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;44;M;Urban; 1 266 
336;1; 693 ; -   ; -   ; -   ; -   ; -   ;Private;Van;54;M;Urban; 1 410 
337;4; 729 ; 734 ; 743 ; 599 ; -   ; -   ;Commercial;Pickup;42;M;Urban; 1 282 
338;1; 757 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Rural; 1 185 
339;2; 684 ; 757 ; -   ; -   ; -   ; -   ;Private;Sedan;38;M;Urban; 1 094 
340;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;36;F;Urban; 1 498 
341;2; 741 ; 667 ; -   ; -   ; -   ; -   ;Commercial;Sports Car;62;F;Urban; 1 168 
342;3; 665 ; 709 ; 676 ; -   ; -   ; -   ;Private;Sedan;47;M;Urban; 1 183 
343;4; 735 ; 650 ; 706 ; 795 ; -   ; -   ;Private;SUV;47;F;Urban; 1 383 
344;2; 715 ; 739 ; -   ; -   ; -   ; -   ;Private;Pickup;46;M;Urban; 1 450 
345;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban; 1 065 
346;1; 641 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;44;F;Urban; 1 012 
347;2; 699 ; 735 ; -   ; -   ; -   ; -   ;Commercial;SUV;36;F;Urban; 1 423 
348;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;33;M;Urban; 1 022 
349;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;35;F;Urban; 1 212 
350;3; 735 ; 668 ; 790 ; -   ; -   ; -   ;Private;Sedan;43;F;Urban; 1 315 
351;3; 686 ; 696 ; 674 ; -   ; -   ; -   ;Private;SUV;45;M;Urban; 1 177 
352;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban; 1 070 
353;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;27;M;Urban; 1 056 
354;1; 549 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Urban; 1 058 
355;1; 725 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;F;Urban; 1 337 
356;2; 666 ; 753 ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban; 1 389 
357;5; 603 ; 635 ; 703 ; 684 ; 718 ; -   ;Commercial;SUV;42;F;Rural; 1 297 
358;2; 598 ; 702 ; -   ; -   ; -   ; -   ;Private;SUV;57;F;Rural; 1 378 
359;2; 696 ; 697 ; -   ; -   ; -   ; -   ;Private;Sedan;56;F;Urban; 1 383 
360;1; 612 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;64;M;Urban; 1 064 
361;4; 569 ; 710 ; 700 ; 626 ; -   ; -   ;Private;Sedan;32;F;Urban; 1 250 
362;1; 706 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban; 1 009 
363;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;37;F;Urban; 1 032 
364;2; 694 ; 785 ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 351 
365;4; 612 ; 753 ; 581 ; 692 ; -   ; -   ;Private;Sedan;39;M;Urban; 1 000 
366;2; 650 ; 662 ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban; 1 180 
367;1; 704 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban; 1 239 
368;1; 682 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;39;F;Urban; 1 425 
369;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;41;F;Rural; 1 126 
370;3; 711 ; 679 ; 754 ; -   ; -   ; -   ;Commercial;Van;35;M;Urban; 1 265 
371;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;64;F;Urban; 1 016 
372;1; 674 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban; 1 406 
373;3; 707 ; 671 ; 736 ; -   ; -   ; -   ;Private;SUV;59;F;Urban; 1 333 
374;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;39;M;Urban; 1 149 
375;2; 678 ; 638 ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban; 1 438 
376;1; 743 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Urban; 1 020 
377;1; 652 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;43;F;Urban; 1 458 
378;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;48;F;Urban; 1 457 
379;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Urban; 1 364 
380;3; 764 ; 667 ; 763 ; -   ; -   ; -   ;Private;Sedan;48;M;Rural; 1 061 
381;2; 639 ; 664 ; -   ; -   ; -   ; -   ;Private;Sports Car;60;F;Urban; 1 025 
382;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;59;M;Urban; 1 482 
383;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban; 1 234 
384;6; 684 ; 795 ; 697 ; 647 ; 778 ; 636 ;Private;SUV;43;F;Urban; 1 070 
385;3; 626 ; 681 ; 700 ; -   ; -   ; -   ;Private;Sports Car;64;F;Urban; 1 354 
386;1; 664 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;55;F;Urban; 1 385 
387;1; 682 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban; 1 397 
388;1; 679 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;54;M;Urban; 1 020 
389;2; 703 ; 642 ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban; 1 324 
390;2; 669 ; 658 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban; 1 396 
391;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;26;F;Urban; 1 029 
392;1; 743 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;43;M;Urban; 1 398 
393;2; 683 ; 633 ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban; 1 404 
394;2; 699 ; 665 ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban; 1 321 
395;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;55;M;Urban; 1 233 
396;2; 685 ; 790 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;45;M;Rural; 1 283 
397;1; 743 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;M;Urban; 1 373 
398;2; 708 ; 645 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban; 1 049 
399;3; 788 ; 715 ; 711 ; -   ; -   ; -   ;Commercial;Pickup;47;M;Rural; 1 372 
400;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 267 
401;2; 725 ; 733 ; -   ; -   ; -   ; -   ;Private;Sports Car;55;F;Urban; 1 012 
402;1; 735 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Rural; 1 221 
403;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;M;Urban; 1 453 
404;1; 727 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;49;F;Urban; 1 060 
405;1; 706 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;30;F;Rural; 1 453 
406;1; 721 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;47;F;Urban; 1 303 
407;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;41;F;Urban; 1 287 
408;2; 579 ; 648 ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban; 1 449 
409;1; 598 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;44;F;Urban; 1 289 
410;1; 711 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;31;F;Rural; 1 446 
411;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban; 1 166 
412;1; 693 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;50;M;Urban; 1 098 
413;1; 689 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;58;M;Urban; 1 457 
414;1; 640 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;M;Urban; 1 061 
415;2; 589 ; 670 ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Urban; 1 307 
416;2; 669 ; 610 ; -   ; -   ; -   ; -   ;Commercial;Sedan;37;M;Urban; 1 464 
417;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;57;F;Rural; 1 397 
418;1; 735 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban; 1 033 
419;1; 711 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;34;F;Urban; 1 321 
420;3; 648 ; 705 ; 700 ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban; 1 350 
421;1; 676 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;42;F;Urban; 1 271 
422;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;38;M;Rural; 1 436 
423;2; 736 ; 673 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban; 1 156 
424;1; 637 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban; 1 409 
425;2; 683 ; 669 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;25;M;Urban; 1 037 
426;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban; 1 239 
427;1; 666 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;20;F;Urban; 1 164 
428;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Urban; 1 026 
429;5; 693 ; 661 ; 615 ; 793 ; 752 ; -   ;Private;Van;32;M;Urban; 1 021 
430;1; 677 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;35;F;Urban; 1 395 
431;3; 685 ; 686 ; 624 ; -   ; -   ; -   ;Commercial;Van;37;M;Urban; 1 083 
432;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;58;M;Urban; 1 117 
433;2; 678 ; 758 ; -   ; -   ; -   ; -   ;Private;Van;40;M;Rural; 1 157 
434;1; 698 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;54;F;Urban; 1 229 
435;2; 666 ; 666 ; -   ; -   ; -   ; -   ;Commercial;Sedan;39;M;Urban; 1 080 
436;3; 706 ; 677 ; 604 ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban; 1 156 
437;2; 765 ; 707 ; -   ; -   ; -   ; -   ;Commercial;SUV;48;F;Rural; 1 270 
438;1; 645 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban; 1 403 
439;1; 621 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;37;F;Urban; 1 353 
440;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Rural; 1 258 
441;4; 640 ; 784 ; 684 ; 628 ; -   ; -   ;Private;Sedan;48;M;Urban; 1 325 
442;2; 823 ; 682 ; -   ; -   ; -   ; -   ;Private;Sports Car;21;F;Urban; 1 325 
443;1; 678 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;33;M;Urban; 1 403 
444;2; 689 ; 710 ; -   ; -   ; -   ; -   ;Private;Pickup;38;F;Urban; 1 189 
445;2; 754 ; 687 ; -   ; -   ; -   ; -   ;Private;Pickup;33;M;Rural; 1 071 
446;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;51;M;Urban; 1 306 
447;3; 672 ; 708 ; 851 ; -   ; -   ; -   ;Private;Sedan;45;M;Urban; 1 425 
448;3; 738 ; 724 ; 698 ; -   ; -   ; -   ;Private;Sports Car;40;F;Urban; 1 305 
449;2; 633 ; 731 ; -   ; -   ; -   ; -   ;Commercial;Van;58;M;Urban; 1 348 
450;1; 687 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;50;M;Urban; 1 032 
451;2; 751 ; 702 ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;M;Urban; 1 495 
452;1; 669 ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;M;Urban; 1 070 
453;3; 688 ; 662 ; 733 ; -   ; -   ; -   ;Private;SUV;39;F;Urban; 1 472 
454;3; 730 ; 710 ; 772 ; -   ; -   ; -   ;Private;SUV;19;F;Rural; 1 321 
455;2; 684 ; 723 ; -   ; -   ; -   ; -   ;Commercial;Sedan;49;M;Rural; 1 171 
456;3; 737 ; 689 ; 733 ; -   ; -   ; -   ;Private;SUV;33;F;Rural; 1 266 
457;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban; 1 402 
458;1; 689 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;M;Urban; 1 163 
459;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;M;Urban; 1 379 
460;1; 730 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;39;M;Rural; 1 187 
461;3; 671 ; 698 ; 723 ; -   ; -   ; -   ;Commercial;Pickup;32;M;Rural; 1 446 
462;3; 597 ; 728 ; 653 ; -   ; -   ; -   ;Private;Sedan;45;M;Urban; 1 186 
463;2; 776 ; 726 ; -   ; -   ; -   ; -   ;Commercial;Pickup;46;F;Urban; 1 410 
464;1; 657 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;F;Urban; 1 456 
465;2; 635 ; 728 ; -   ; -   ; -   ; -   ;Commercial;Sports Car;63;F;Urban; 1 366 
466;2; 734 ; 664 ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban; 1 371 
467;2; 710 ; 671 ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Rural; 1 050 
468;3; 665 ; 625 ; 770 ; -   ; -   ; -   ;Private;Sports Car;72;F;Urban; 1 084 
469;2; 680 ; 702 ; -   ; -   ; -   ; -   ;Private;Van;51;M;Urban; 1 078 
470;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;39;F;Urban; 1 342 
471;1; 697 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Rural; 1 226 
472;4; 709 ; 718 ; 635 ; 726 ; -   ; -   ;Private;Van;53;M;Urban; 1 038 
473;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;45;M;Urban; 1 175 
474;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;36;F;Urban; 1 103 
475;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;36;F;Rural; 1 284 
476;2; 729 ; 655 ; -   ; -   ; -   ; -   ;Commercial;Pickup;32;M;Urban; 1 399 
477;1; 721 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban; 1 036 
478;1; 694 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban; 1 192 
479;1; 676 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;57;M;Urban; 1 309 
480;2; 669 ; 662 ; -   ; -   ; -   ; -   ;Private;SUV;47;F;Urban; 1 463 
481;4; 691 ; 671 ; 810 ; 780 ; -   ; -   ;Commercial;Pickup;36;F;Urban; 1 104 
482;3; 628 ; 641 ; 628 ; -   ; -   ; -   ;Commercial;SUV;43;F;Urban; 1 106 
483;1; 665 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;46;F;Urban; 1 311 
484;2; 703 ; 707 ; -   ; -   ; -   ; -   ;Private;SUV;41;F;Rural; 1 170 
485;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;55;M;Rural; 1 167 
486;2; 744 ; 665 ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban; 1 439 
487;2; 784 ; 649 ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban; 1 432 
488;2; 678 ; 683 ; -   ; -   ; -   ; -   ;Commercial;Van;35;M;Urban; 1 337 
489;1; 732 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;60;F;Urban; 1 359 
490;1; 594 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban; 1 170 
491;1; 638 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;F;Urban; 1 061 
492;2; 679 ; 686 ; -   ; -   ; -   ; -   ;Commercial;Van;39;M;Rural; 1 116 
493;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;33;F;Urban; 1 423 
494;2; 670 ; 686 ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Rural; 1 048 
495;5; 868 ; 722 ; 668 ; 732 ; 764 ; -   ;Commercial;Sports Car;39;F;Urban; 1 293 
496;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban; 1 260 
497;1; 673 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;48;M;Urban; 1 467 
498;1; 707 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;M;Rural; 1 283 
499;1; 704 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Urban; 1 305 
500;4; 630 ; 754 ; 715 ; 730 ; -   ; -   ;Private;Sedan;37;M;Urban; 1 338 
501;5; 717 ; 747 ; 654 ; 624 ; 666 ; -   ;Private;SUV;40;F;Urban; 1 213 
502;3; 725 ; 673 ; 679 ; -   ; -   ; -   ;Private;Sedan;51;M;Rural; 1 017 
503;1; 718 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;42;F;Urban; 1 484 
504;6; 701 ; 675 ; 664 ; 677 ; 656 ; 662 ;Commercial;Van;41;M;Urban; 1 030 
505;2; 726 ; 747 ; -   ; -   ; -   ; -   ;Private;Sedan;46;M;Rural; 1 222 
506;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;35;M;Urban; 1 398 
507;2; 725 ; 698 ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Rural; 1 259 
508;3; 739 ; 783 ; 731 ; -   ; -   ; -   ;Private;Sports Car;64;F;Urban; 1 055 
509;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;46;M;Urban; 1 255 
510;3; 689 ; 662 ; 626 ; -   ; -   ; -   ;Commercial;Panel Truck;39;M;Urban; 1 364 
511;2; 701 ; 750 ; -   ; -   ; -   ; -   ;Private;SUV;69;M;Urban; 1 462 
512;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban; 1 043 
513;2; 693 ; 622 ; -   ; -   ; -   ; -   ;Commercial;Sedan;44;M;Rural; 1 280 
514;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;44;M;Urban; 1 367 
515;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Rural; 1 251 
516;2; 672 ; 718 ; -   ; -   ; -   ; -   ;Private;Pickup;56;F;Urban; 1 268 
517;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;59;M;Urban; 1 282 
518;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;41;M;Urban; 1 041 
519;1; 783 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;57;F;Urban; 1 297 
520;2; 772 ; 711 ; -   ; -   ; -   ; -   ;Commercial;Pickup;43;M;Urban; 1 478 
521;0; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;42;M;Urban; 1 406 
522;1; 638 ; -   ; -   ; -   ; -   ; -   ;Private;Van;52;M;Urban; 1 498 
523;1; 766 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;46;M;Urban; 1 331 
524;3; 757 ; 662 ; 728 ; -   ; -   ; -   ;Commercial;Pickup;51;M;Rural; 1 347 
525;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban; 1 262 
526;3; 719 ; 627 ; 721 ; -   ; -   ; -   ;Private;Sedan;52;F;Urban; 1 392 
527;2; 723 ; 729 ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban; 1 457 
528;0; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;F;Urban; 1 188 
529;2; 613 ; 599 ; -   ; -   ; -   ; -   ;Private;Sedan;44;F;Urban; 1 340 
530;2; 693 ; 652 ; -   ; -   ; -   ; -   ;Private;Sedan;48;M;Urban; 1 306 
